title,artist,album,year,genre,,,,,,,,,,,,,,,,,,,,,,,
Hero,Mariah Carey,Music Box,1993,R&B,,,,,,,,,,,,,,,,,,,,,,,
On Bended Knee,Boyz II Men,II,1994,R&B,,,,,,,,,,,,,,,,,,,,,,,
I'll Make Love to You,Boyz II Men,II,1994,R&B,,,,,,,,,,,,,,,,,,,,,,,
How Do I Live,LeAnn Rimes, You Light Up My Life: Inspirational Songs,1997,Country,,,,,,,,,,,,,,,,,,,,,,,
Lose Yourself,Eminem,8 Mile Soundtrack,2002,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,
In Da Club,50 Cent,Get Rich or Die Tryin',2003,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,
We Belong Together,Mariah Carey,The Emancipation of Mimi,2005,R&B,,,,,,,,,,,,,,,,,,,,,,,
Can't Tell Me Nothing,Kanye West,Graduation,2007,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,
Love on Top,Beyoncé,4,2011,R&B,,,,,,,,,,,,,,,,,,,,,,,
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city",2012,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,
Closer,The Chainsmokers,Collage,2016,"Dance/Electronic, Pop",,,,,,,,,,,,,,,,,,,,,,,
Finesse,Bruno Mars,24K Magic,2016,R&B/Funk,,,,,,,,,,,,,,,,,,,,,,,
Rockstar,Post Malone ,Beerbongs & Bentleys,2017,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,
Shape Of You,Ed Sheeran,Divide,2017,Pop,,,,,,,,,,,,,,,,,,,,,,,
Sicko Mode,Travis Scott,Astroworld,2018,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,
No Guidance,Chris Brown,Indigo,2019,R&B,,,,,,,,,,,,,,,,,,,,,,,
Say So,Doja Cat,Hot Pink,2019,R&B,,,,,,,,,,,,,,,,,,,,,,,
Watermelon Sugar,Harry Styles,Fine Line,2019,R&B/Pop,,,,,,,,,,,,,,,,,,,,,,,
Blinding Lights,The Weeknd,After Hours,2020,R&B,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
